Shanty Garogol, Tb	-6.8226917, 107.0959453
Makmur Tangguh Jaya, Tb	-6.467673333, 106.9893217
Anugrah Jaya (Beji)	-6.3497529, 106.7759316
leuwi baja	-6.408705, 106.906716
Tokokita, Tb	-6.375288246, 106.7593491
Kings Putra 2	-6.592995, 106.8649167
Harapan, Tb	-6.5836435, 106.7702437
Raka Abadi, Tb	-6.3674106, 106.7983408
Sinar Maju Bangunan	-6.433474567, 106.7103571
Sumber Makmur (Cibinong)	-6.4694946, 106.8133546
Mutiara, Tb	-6.60128621, 106.77948603
Graha Solusi	-6.4131539, 107.0467575
TB Mitra Gadog	-6.657288, 106.8645549
51 Jaya Bangunan, Tb	-6.477781667, 106.67553
Cahaya Berkat, Tb (Sukabumi)	-6.94672155, 106.92340854
Jasinga Raya, Tb	-6.480494631, 106.4640251
Hery Blok, Pb ( Jl. Baru Km 5 Kayu )	-6.5415258, 106.7773587
Ump Material, Tb	-6.538899, 107.0323854
Permata 2, Tb	-6.552766667, 106.6376617
 tb. Dharma jaya	-6.3406337, 106.8569305
Gina Mas, Tb (Sukabumi)	-6.9574964, 106.9032963
Surya Buana, Tb (Cianjur)	-6.7843358, 107.1755049
toko kuning	-6.9230856, 106.9352755
Sumber Berkat Jabon	-6.455109, 106.731124
Hidup Baru 2, Tb	-6.541037159, 106.6957255
Harapan Sejahtera, Tb	-6.46154926, 106.8018347
Mentari, Tb	-6.4544124, 106.7374101
Sumber Rizqie Abadi, Tb	-6.450388333, 106.9348733
Sumber Jaya Anugrah, Tb	-6.463479, 106.7658223
TB. Ac barokah	-6.263664, 106.863535
Genta Pribadi. Tb	-6.450521822, 106.7995952
Cahaya Abadi	-6.359428333, 106.8165517
Sr Property, Tb	-6.41558, 106874735.0
Mitra Bangunan Pamoyanan	-6.6482229, 106.8053567
Victory	-6.4056818, 106.693208
Sumber Mas, Tb	-6.38596284, 106.8805862
Sumber Alam, Ud	-6.366134967, 106.6163415
Karunia Mandiri, Tb (Rawakalong)	-6.3690761, 106.7157361
Sinar Makmur, Tb	-6.306435, 106.9710933
Matrial 99 Jaya	-6.458279, 106.833317
Pkl Jaya, Tb (Sukabumi)	-7.24002995, 106.621063
Cimandala Jaya Indah, Tb	-6.523895, 106.833295
Suka Maju, Tb	-6.389752801, 106.7689347
Karya Bangun, Tb	-6.438266115, 106.8208124
Adi Jaya, Tb (Cianjur)	-6.867417767, 107.0317127
Karya Maju, Tb	-6.22562881, 106.966177
Fajar Jaya. Tb	-6.447081667, 106.9772367
89 Jaya, Tb	-6.445656507, 106.8407443
Banjaran Jaya, Tb	-6.426122021, 106.8706288
Kahuripan Jaya, Tb	-6.43970404, 106.9877343
Harapan Jaya, Tb	-6.3586372, 106.9565206
AJM-Cileungsi, TB	-6.438095, 107.0031717
Habib 2, Tb (Sukabumi)	-6.90547333, 106.87586333
PT. Satria Putra Persada (Ciseeng)	-6.45072237041251, 106.6996049301667
Sinar Badi, Tb	-6.453066667, 106.894585
Budi Darma, Tb (Cianjur)	-6.827171667, 107.1894367
Sinar Barokah, Tb (Gn. Pancar)	-6.5731939, 106.8799546
Banjar Jaya, Tb (Sukabumi)	-6.9654929, 106.9281623
Makmur Sejahtera	-6.445563091, 106.8292493
Acc, Tb	-6.4612489, 106.8000611
Bintang Jaya. Tb (Tanah Sareal)	-6.5598003, 106.7874309
Cibanteng Jaya, Tk (Cikampak Baru)	-6.5582633, 106.6932751
Depok Jaya Cilodong	-6.438368333, 106.8207067
TB Adi Jaya	-6.8684054, 107.0420246
TB Abadi	-6.416497, 106.797038
Guna Gelang Gemilang, Tb	-6.460316624, 106.4234302
Murah Makmur, Tb (Cianjur)	-6.7433572, 107.0464636
Nazfa Mandiri, Tb	-6.6799489, 106.9322873
Kembang Jaya, Tb	-6.419761667, 106.75295
Perum Taman Sari Park Residence	-6.6490491, 106.7549665
Jasa Mandiri,Tb	-6.3853737, 106.6739663
Mandiri, Tb (Cimande)	-6.7010997, 106.8325916
Hamparan Dunia	-6.6028135, 106.7669898
Murah Abadi 2	-6.46393, 107.06605
